Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
"THE PAIN CENTER OF ARIZONA, PC","9401 W THUNDERBIRD RD # SU, PEORIA, AZ 85381-4233",623-516-8252,Pain Management,Medium,Other Medical,Low
THE PAIN INSTITUTE OF SOUTHERN ARIZONA (PISA) P C,"7140 E ROSEWOOD ST # SUI, TUCSON, AZ 85710-1346",520-505-3800,Pain Management,Medium,Other Medical,Low
"THE PAIN INSTITUTE OF SOUTHERN ARIZONA (PISA), P C","4881 E GRANT RD STE 10, TUCSON, AZ 85712-2704",520-505-3800,Pain Management,Medium,Other Medical,Low
"THE PAIN INSTITUTE OF SOUTHERN ARIZONA (PISA), PC","4582 N 1ST AVE STE 1, TUCSON, AZ 85718-8602",520-505-3800,Pain Management,Medium,Other Medical,Low
THE REGIONAL PAIN INSTITUTE,"36453 N GANTZEL RD, SAN TAN VALLEY, AZ 85140-7339",520-505-3800,Pain Management,Medium,Other Medical,Low
"TOMAR PAIN CENTERS II, PLLC","919 12TH PL STE 12B, PRESCOTT, AZ 86305-1433",928-771-2700,Pain Management,Medium,Other Medical,Low
"TOMAR PAIN CENTERS, PLLC","1821 N TREKELL RD, CASA GRANDE, AZ 85122-1705",520-421-0986,Pain Management,Medium,Other Medical,Low
TRI-CITY SURGERY CENTER,"5430 DISTINCTION WAY, PRESCOTT, AZ 86301-8437",928-445-1919,Surgery Center,High,Other Medical,Low
Tri-City Surgical Centers LLC,"143 S 63RD ST, MESA, AZ 85206-1618",,Surgery Center,High,Other Medical,Low
TUCSON PAIN MANAGEMENT,"137 E FORT LOWELL RD, TUCSON, AZ 85705-3920",602-589-0500,Pain Management,Medium,Other Medical,Low
TUCSON SURGERY CENTER,"2121 N CRAYCROFT RD BLDG 8, TUCSON, AZ 85712-2845",520-731-5501,Surgery Center,High,Other Medical,Low
Tucson Urologic Surgery Center,"7470 N ORACLE RD STE 210, TUCSON, AZ 85704-4440",520-317-5233,Surgery Center,High,Other Medical,Low
Tucson Urologic Surgery Center,"4745 E CAMP LOWELL DR, TUCSON, AZ 85712-1256",925-899-0739,Surgery Center,High,Other Medical,Low
UROLOGIC SURGERY CENTER ARIZONA,"17300 N PERIMETER DR STE 2, SCOTTSDALE, AZ 85255-5493",602-222-1900,Surgery Center,High,Other Medical,Low
UROLOGIC SURGERY CENTER OF ARIZONA,"1313 E OSBORN RD STE 1, PHOENIX, AZ 85014-5678",410-581-1600,Surgery Center,High,Other Medical,Low
"VALLEY OF THE SUN INSTITUTE FOR PAIN MANAGEMENT, P","4921 E BELL RD STE 203, SCOTTSDALE, AZ 85254-6002",480-955-1515,Pain Management,Medium,Other Medical,Low
VALLEY OUTPATIENT SURGERY CENTER,"160 W UNIVERSITY DR # SUI, MESA, AZ 85201-5833",602-598-7068,Surgery Center,High,Other Medical,Low
VALLEY SURGICAL CENTER,"15601 N 28TH AVE, PHOENIX, AZ 85053-4061",602-863-6363,Surgery Center,High,Other Medical,Low
VINCERE SURGERY CENTER,"7469 E MONTE CRISTO AVE, SCOTTSDALE, AZ 85260-1618",480-306-5390,Surgery Center,High,Other Medical,Low
WESTERN ARIZONA INTERVENTIONAL CARDIOLOGY GROUP,"2755 SILVER CREEK RD, BULLHEAD CITY, AZ 86442-7904",928-704-6070,Specialty Medical,High,Other Medical,Low
"WESTERN NEURO, CARONDELET MEDICAL GROUP","6567 E CARONDELET DR # 30, TUCSON, AZ 85710-6152",858-335-4938,Specialty Medical,High,Other Medical,Low
WESTGATE SURGERY CENTER,"7330 N 99TH AVE, GLENDALE, AZ 85307-3015",623-888-5500,Surgery Center,High,Other Medical,Low
WYATT SURGERY CENTER,"2424 N WYATT DR, TUCSON, AZ 85712-6115",520-444-2780,Surgery Center,High,Other Medical,Low
YUMA VALLEY ADVANCED PAIN MANAGEMENT,"2270 S RIDGEVIEW DR # SU, YUMA, AZ 85364-8875",928-329-4771,Pain Management,Medium,Other Medical,Low
"YUMA VALLEY AMBULATORY PAIN SERVICES, INC","2270 S RIDGEVIEW DR, YUMA, AZ 85364-8875",928-783-4640,Pain Management,Medium,Other Medical,Low
ZONA SPINE AND PAIN,"750 N ESTRELLA PKWY # SU, GOODYEAR, AZ 85338-9272",623-321-5079,Specialty Medical,High,Other Medical,Low
