Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type (v1 base),After name refinement,Hospice remapped to Other
CANYON PAIN AND SPINE,"6320 W UNION HILLS DR STE A270, GLENDALE, AZ 85308-7175",623-250-5288,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
CANYON PAIN AND SPINE,"10238 E HAMPTON AVE STE 416, MESA, AZ 85209-3320",480-550-9393,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
CANYON PAIN AND SPINE,"1425 S HIGLEY RD BLDG 9, GILBERT, AZ 85296-4798",480-550-9393,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
CARDIAC CATH LAB OF PHOENIX,"1910 E THOMAS RD STE 1, PHOENIX, AZ 85016-7766",480-470-0003,Cardiology Office,Low,Other,Cardiology Office,no
"CARDIAC IMAGING, INC.","600 S 56TH ST STE 7, CHANDLER, AZ 85226-4207",800-998-2035,Cardiology Office,Low,Other,Cardiology Office,no
CARDIAC SURGERY CENTER OF ARIZONA LLC,"20199 N 67TH AVE, GLENDALE, AZ 85308-7001",623-561-9002,Cardiology Office,High,Primary Care Office,Cardiology Office,no
CARDIAC SURGERY CENTER OF PHOENIX,"1910 E THOMAS RD STE 1, PHOENIX, AZ 85016-7766",713-812-7586,Cardiology Office,High,Primary Care Office,Cardiology Office,no
CITY OF HOPE CANCER CARE GILBERT,"3530 S VAL VISTA DR # SU, GILBERT, AZ 85297-7318",623-207-3000,Oncology Office,Low,Other,Oncology Office,no
CITY OF HOPE CANCER CARE NORTH PHOENIX,"2915 W ROSE GARDEN LN, PHOENIX, AZ 85027-3127",623-932-8960,Oncology Office,Low,Other,Oncology Office,no
CITY OF HOPE CANCER CARE NORTH PHOENIX,"20950 N 29TH AVE, PHOENIX, AZ 85027-3110",623-207-3000,Oncology Office,Low,Other,Oncology Office,no
COTTONWOOD PAIN MANAGEMENT AND SPINE SPECIALIST,"1 N MAIN ST, COTTONWOOD, AZ 86326-3864",602-589-0500,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
DESERT INTERVENTIONAL SPINE CONSULTANTS,"1410 W GUADALUPE RD BLDG 4, GILBERT, AZ 85233-3003",480-838-1914,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
DIGNITY HEALTH CANCER INSTITUTE AT ST JOSEPHS HOSP,"625 N 6TH ST, PHOENIX, AZ 85004-2155",602-406-3000,Oncology Office,Low,Other,Oncology Office,no
ELITE PAIN AND SPINE INSTITUTE PLC,"1641 E OSBORN RD, PHOENIX, AZ 85016-7146",602-790-1177,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ELITE PAIN AND SPINE INSTITUTE, PLC","1810 S CRISMON RD, MESA, AZ 85209-3717",702-374-2910,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ELITE PAIN AND SPINE INSTITUTE, PLC","535 E MCKELLIPS RD, MESA, AZ 85203-2522",480-900-7373,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"ESSENTIAL FOOT & NAIL CARE, LLC","11551 S FORTUNA RD, YUMA, AZ 85367-7853",928-920-5451,Podiatry Office,Low,Other,Podiatry Office,no
FRESENIUS KIDNEY CARE CANYON VISTA,"5555 MESA VERDE DR STE 1, SIERRA VISTA, AZ 85635-4311",520-458-4490,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE COTTONWOOD,"455 S CALVARY WAY, COTTONWOOD, AZ 86326-4169",928-649-5925,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE DESERT SAGE,"4901 W MCDOWELL RD, PHOENIX, AZ 85035-4160",602-272-3116,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE GATEWAY,"450 S GILBERT RD, CHANDLER, AZ 85225-2479",480-926-9339,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE PRESCOTT VALLEY EAST,"7862 E FLORENTINE RD # SUI, PRESCOTT VALLEY, AZ 86314-2690",928-772-2370,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE TANGERINE CROSSING,"3600 W TANGERINE RD, MARANA, AZ 85658-5165",520-477-3041,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE WESTERN SKIES,"1041 NORTH ARIZOLA ROAD, CASA GRANDE, 85222",520-836-5883,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE WESTGATE,"6622 N 91ST AVE, GLENDALE, AZ 85305-2512",602-281-7671,Nephrology Office,Low,Other,Nephrology Office,no
FRESENIUS KIDNEY CARE WESTGATE HOME,"6622 N 91ST AVE, GLENDALE, AZ 85305-2512",623-877-0920,Nephrology Office,Low,Other,Nephrology Office,no
HONORHEALTH CANCER CARE,"1110 S DOBSON RD STE 1, CHANDLER, AZ 85286-6164",623-238-7540,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"3645 S ROME ST STE 209, GILBERT, AZ 85297-7338",623-238-7370,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"19646 N 27TH AVE, PHOENIX, AZ 85027-4017",815-541-2507,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"9250 N 3RD ST STE 3010, PHOENIX, AZ 85020-2425",310-909-3898,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"3621 N WELLS FARGO AVE, SCOTTSDALE, AZ 85251-5607",480-583-1009,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"16716 E PALISADES BLVD, FOUNTAIN HILLS, AZ 85268-3846",602-238-7570,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"14674 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2706",602-818-7344,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"10320 W MCDOWELL RD, AVONDALE, AZ 85392-4863",623-695-7928,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"5750 W THUNDERBIRD RD # C, GLENDALE, AZ 85306-4660",855-485-4673,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"20745 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255-6594",602-421-7832,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"10460 N 92ND ST, SCOTTSDALE, AZ 85258-4549",623-238-7630,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"10460 N 92ND ST STE 40, SCOTTSDALE, AZ 85258-4549",623-238-7673,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"7695 S RESEARCH DR, TEMPE, AZ 85284-1812",480-587-5493,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-277-4868,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER CARE,"10197 N 92ND ST, SCOTTSDALE, AZ 85258-4560",602-943-2391,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH CANCER TRANSPLANT INSTITUTE,"10460 N 92ND ST STE 300, SCOTTSDALE, AZ 85258-4547",480-323-1573,Oncology Office,High,Hospital,Oncology Office,no
HONORHEALTH PULMONARY HYPERTENSION CLINIC,"9250 N 3RD ST STE 2, PHOENIX, AZ 85020-2437",602-786-0220,Pulmonology Office,High,Hospital,Pulmonology Office,no
"INSTITUTE FOR SPORTS MEDICINE, THE","6130 N LA CHOLLA BLVD, TUCSON, AZ 85741-3557",520-469-8052,Orthopedic Office,Low,Other,Orthopedic Office,no
MAYO CLINIC SPORTS MEDICINE CENTER,"63 S ROCKFORD DR, TEMPE, AZ 85288-6212",480-342-4201,Orthopedic Office,Low,Other,Orthopedic Office,no
MAYO CLINIC SPORTS MEDICINE CENTER - RIVER,"58 S RIVER DR STE 160, TEMPE, AZ 85288-3774",480-342-4201,Orthopedic Office,Low,Other,Orthopedic Office,no
MT GRAHAM SPINE AND PAIN,"2241 W 16TH ST, SAFFORD, AZ 85546-4085",928-432-6369,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
NORTHWEST BONE & JOINT AT LA CHOLLA,"6130 N LA CHOLLA BLVD, TUCSON, AZ 85741-3557",520-907-4606,Orthopedic Office,Low,Other,Orthopedic Office,no
NORTHWEST BONE & JOINT AT ORO VALLEY,"1521 E TANGERINE RD, ORO VALLEY, AZ 85755-6225",520-268-0128,Orthopedic Office,Low,Other,Orthopedic Office,no
NORTHWEST BONE AND JOINT,"1871 W ORANGE GROVE RD, TUCSON, AZ 85704-1288",520-437-9488,Orthopedic Office,Low,Other,Orthopedic Office,no
NOVASPINE PAIN INSTITUTE,"13203 N 103RD AVE, SUN CITY, AZ 85351-3028",623-777-4747,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"PAIN AND SPINE TREATMENT CENTER, LLC","16620 N 40TH ST, PHOENIX, AZ 85032-3348",602-350-0491,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
PARKER PODIATRY,"1713 S KOFA AVE STE K, PARKER, AZ 85344-6402",928-669-3033,Podiatry Office,Low,Other,Podiatry Office,no
"PHOENIX SPINE AND JOINT GILBERT,ASC, LLC","1760 E PECOS RD STE 128, GILBERT, AZ 85295-3206",602-256-2525,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
"PHOENIX SPINE GOODYEAR ASC, LLC","140 N LITCHFIELD RD # SUI, GOODYEAR, AZ 85338-1277",602-256-2525,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
PIONEER SPORTS AND SPINE,"4915 E BASELINE RD, GILBERT, AZ 85234-2965",480-249-5525,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
PONDEROSA HEART HOUSE CALL,"2162 E WILLIAMS FIELD RD, GILBERT, AZ 85295-0735",480-795-1515,Home Visit Physician Group,Low,Other,Home Visit Physician Group,no
"SAGUARO JOINT AND SPINE, LLC","2919 S ELLSWORTH RD STE 109, MESA, AZ 85212-2165",480-597-4321,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
SCOTTSDALE KIDNEY CENTER LLC,"6970 E CHAUNCEY LN, PHOENIX, AZ 85054-5157",480-515-2160,Nephrology Office,Low,Other,Nephrology Office,no
SUMMIT HEALTHCARE CANCER CENTER,"2500 E HUNT DR STE H, SHOW LOW, AZ 85901-7954",928-537-6937,Oncology Office,Low,Other,Oncology Office,no
TMCONE PULMONARY ASSOCIATES,"1951 N WILMOT RD, TUCSON, AZ 85712-8000",520-318-1114,Pulmonology Office,Low,Other,Pulmonology Office,no
VIRGINIA G. PIPER CANCER CENTER,"10460 N 92ND ST, SCOTTSDALE, AZ 85258-4549",480-323-1250,Oncology Office,Low,Other,Oncology Office,no
YRMC CANCER CENTER,"2375 S RIDGEVIEW DR, YUMA, AZ 85364-8868",928-317-2518,Oncology Office,Low,Other,Oncology Office,no
ZONA SPINE AND PAIN,"750 N ESTRELLA PKWY # SU, GOODYEAR, AZ 85338-9272",623-321-5079,Orthopedic Office,High,Primary Care Office,Orthopedic Office,no
